Ürün Adı,Fiyat,Link,Özellikler
maximoda,"899,90 TL",https://www.trendyol.com/maximoda/suya-dayanikli-ve-soguk-gecirmez-4-renk-kislik-erkek-ayakkabi-p-142345952?boutiqueId=61&merchantId=108501&advertItems=eyJhZHZlcnRJZCI6ImM0OWRiODIyLTZjZjEtNGRhZi1iNGU0LWM4OTc4ODM3MDU5YyIsInNvcnRpbmdTY29yZSI6MC4wMTc1ODA2MjI4NDI1MzUzOCwiYWRTY29yZSI6MC4wMjA1NzA1Mjc3NjIxNzQ2MDYsImFkU2NvcmVzIjp7IjEiOjAuMDIwNTcwNTI3NzYyMTc0NjA2LCIyIjowLjAyMDU3MDUyNzc2MjE3NDYwNn0sImNwYyI6MC44NDcwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAuMDEsImVDcGMiOjAuODIzNDAwODk2MTIzMDg5MiwiYWR2ZXJ0U2xvdCI6OCwib3JkZXIiOjcsImF0dHJpYnV0ZXMiOiIifQ==,"{'Renk': 'Siyah', 'Ek Özellik': 'Suya Dayanıklı'}"

eformoda by emre yılmaz,"509,90 TL",https://www.trendyol.com/eformoda-by-emre-yilmaz/siyah-cilt-kadin-tokali-fermuarli-rahat-bot-ptk013-p-763109278?boutiqueId=61&merchantId=386917,"{'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Topuk Tipi': 'Kalın Topuklu', 'Bağlama Şekli': 'Fermuarlı', 'Renk': 'Siyah', 'Desen': 'Düz', 'Kalıp': 'Regular', 'Ortam': 'Casual/Günlük'}"

Hg Ayakkabı,475 TL,https://www.trendyol.com/hg-ayakkabi/wanda-krem-deri-fermuarli-tasli-kislik-bot-p-762924016?boutiqueId=61&merchantId=846252,"{'Materyal': 'Suni Deri', 'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Topuk Tipi': 'Kalın Topuklu', 'Bağlama Şekli': 'Fermuarlı', 'Kullanım Alanı': 'Günlük', 'Renk': 'Bej', 'Desen': 'Düz Renk', 'Dış Materyal': 'Suni Deri', 'Kalıp': 'Regular', 'Boy / Ölçü': 'Orta', 'Taban Materyali': 'Termoplastik', 'Saya Materyali': 'Suni Deri', 'İç Taban Materyali': 'Tekstil', 'Astar Materyali': 'Tekstil', 'Persona': 'Cool & Comfort', 'Ek Özellik': 'Seamless', 'Ortam': 'Casual/Günlük'}"

Kinetix,"399,99 TL",https://www.trendyol.com/kinetix/jones-hi-pu-w-3fx-beyaz-kadin-high-sneaker-p-683260562?boutiqueId=61&merchantId=107040,"{'Bağlama Şekli': 'Bağcıklı', 'Renk': 'Beyaz', 'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Topuk Tipi': 'Düz Topuklu', 'Ortam': 'Casual/Günlük', 'Desen': 'Düz', 'Materyal Bileşeni': '100%PU'}"

Rimex,"499,99 TL",https://www.trendyol.com/rimex/erkek-n-gri-gunluk-rahat-spor-ayakkabi-rm0520-p-750853606?boutiqueId=61&merchantId=458155&advertItems=eyJhZHZlcnRJZCI6ImIyODk1MjYyLTQ0NWUtNDk1Zi1iNjQ3LTYyYTFiOWNlZjA1YSIsInNvcnRpbmdTY29yZSI6MC4wMTY2NzU2NjMzMDA5NjQxODgsImFkU2NvcmUiOjAuMDEyNTI2NDk3MjQ0ODM0OSwiYWRTY29yZXMiOnsiMSI6MC4wMTI1MjY0OTcyNDQ4MzQ5LCIyIjowLjAxMjUyNjQ5NzI0NDgzNDl9LCJjcGMiOjEuMzMxMjMxMTQ3NDY1NDM2MSwibWluQ3BjIjowLjAxLCJlQ3BjIjoxLjMxNjczMzk0MDA1MzI0MywiYWR2ZXJ0U2xvdCI6OSwib3JkZXIiOjExLCJhdHRyaWJ1dGVzIjoiIn0=,"{'Kullanım Alanı': 'Günlük', 'Renk': 'Gri', 'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)'}"

